qc_hhgrid_w4_pergrid	PLEASE CODE THE PERSON YOU ARE SPEAKING TO
qc_familybackground_w4_macobo	WRITE IN OTHER COUNTRY
qc_familybackground_w4_mayruk	Has your mother ever lived in the UK?
qc_ethnicityandnationalidentity_w4_natid	"Looking at this card, what do you consider your national identity to be? You may choose as many or as few as apply."
qc_ethnicityandnationalidentity_w4_natido	What other national identity is that?
qc_ethnicityandnationalidentity_w4_racel	What is your ethnic group?
qc_ethnicityandnationalidentity_w4_racelo	What other ethnic group is that?
qc_ethnicityandnationalidentity_w4_racelt	And to which of these ethnic groups do you consider you belong...
qc_ethnicityandnationalidentity_w4_racelwt	Do you consider yourself to be...
qc_ethnicityandnationalidentity_w4_racelmt	Do you consider yourself to be...
qc_ethnicityandnationalidentity_w4_racelat	Do you consider yourself to be...
qc_ethnicityandnationalidentity_w4_racelbt	Do you consider yourself to be...
qc_ethnicityandnationalidentity_w4_racelot	What ethnic group is that?
qc_religion_w4_oprlg	Do you regard yourself as belonging to any particular religion?
qc_religion_w4_oprlg0	Which religion were you brought up in?
qc_religion_w4_oprlg1	Which religion do you regard yourself as belonging to?
qc_religion_w4_oprlg0ni	Which religion were you brought up in?
qc_religion_w4_nirel	"What is your religion, even if you are not practising?"
qc_religion_w4_nireloth	Please describe this other religion
qc_religion_w4_niact	Do you consider that you are actively practising your religion?
qc_religion_w4_oprlg2	"How often, if at all, do you attend religious services or meetings?"
qc_religion_w4_prayfreq	"Apart from when you are at religious services, how often, if at all, do you pray?"
qc_religion_w4_oprlg3	How much difference would you say religious beliefs make to your life? Would you say they make...
qc_religiouspractice_w4_rleat	"For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you... My religious beliefs affect what I eat."
qc_religiouspractice_w4_rldrnk	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) My religious beliefs affect what I drink, such as alcohol."
qc_religiouspractice_w4_rlwear	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) My religious beliefs affect what I wear"
qc_religiouspractice_w4_rlmarg	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) My religious beliefs affect my decisions related to marriage and dating."
qc_religiouspractice_w4_rlschl	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) My religious beliefs affect what school I would send my children to."
qc_religiouspractice_w4_rlcharity	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) My religious beliefs affect my decisions for charitable giving and helping others."
qc_religiouspractice_w4_rlsave	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) My religious beliefs affect my decisions related to investment and savings."
qc_religiouspractice_w4_rlfriends	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) My religious beliefs affect the friends I choose"
qc_religiouspractice_w4_rljob	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) My religious beliefs affect the sort of job I would do"
qc_religiouspractice_w4_rljoby	"(For many people their religious beliefs affect the way they live their lives, such as what they eat, the work they do, or their family life even if they do not practice any formal religion. Which of the following statements apply to you...) How do your religious beliefs affect the sort of job you would do?"
qc_serviceuse_w4_servuse	Which of these services have you used over the last 12 months?
qc_serviceuse_w4_opserv	"You said you had used the {if SERVUSE=5} [SERVUSE] in the last 12 months. On a scale of 1 to 7 where 1 means completely dissatisfied and 7 means completely satisfied, how satisfied were you with the service? Please think of your typical experience using this service."
qc_serviceuse_w4_srvynot	"You said you had not used the {if SERVUSE=5} [SERVUSE] in the last 12 months, what was the main reason for not using this service?"
qc_generalhealth_w4_inthealth	"Next, we have some questions about your health."
qc_generalhealth_w4_sf1	"In general, would you say your health is..."
qc_disability_w4_health	"Do you have any long-standing physical or mental impairment, illness or disability? By 'long-standing' I mean anything that has troubled you over a period of at least 12 months or that is likely to trouble you over a period of at least 12 months."
qc_disability_w4_disdif	Does this/Do these health problem(s) or disability(ies) mean that you have substantial difficulties with any of the following areas of your life?
qc_sleep_w4_hrs_slph	The following questions relate to your usual sleep habits during the last month. Please indicate the most accurate reply for the majority of days and nights in the past month. How many hours of actual sleep did you usually get per night during the last month? This may be different than the actual number of hours you spent in bed. ENTER HOURS
qc_sleep_w4_hrs_slpm	The following questions relate to your usual sleep habits during the last month. Please indicate the most accurate reply for the majority of days and nights in the past month. How many hours of actual sleep did you usually get per night during the last month? This may be different than the actual number of hours you spent in bed. ENTER MINUTES.
qc_sleep_w4_tslp_30m	"During the past month, how often have you had trouble sleeping because you... cannot get to sleep within 30 minutes?"
qc_sleep_w4_tslp_wak	"(During the past month, how often have you had trouble sleeping because you...) wake up in the middle of the night or early in the morning?"
qc_sleep_w4_tslp_cgh	"(During the past month, how often have you had trouble sleeping because you...) cough or snore loudly?"
qc_sleep_w4_med_slp	"During the past month, how often have you taken medicine (prescribed or ""over the counter"") to help you sleep?"
qc_sleep_w4_tsta_awk	"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?"
qc_sleep_w4_slp_qual	"During the past month, how would you rate your sleep quality overall?"
qc_healthconditions_w4_hcond	Has a doctor or other health professional ever told you that you have any of these conditions? Please just tell me the numbers that apply.
qc_healthconditions_w4_hconds	Do you still have [HCond]?
qc_healthconditions_w4_hconda	What age were you when you were first told you had a {if HCond=6|7} [HCond]?
qc_twins_w4_twinconf	"Can I just confirm, are [CHILD1] and [CHILD2] twins?"
qc_twins_w4_twinzyg	Are [CHILD1] and [CHILD2] identical twins?
qc_caring_w4_aidhh	"Is there anyone living with you who is sick, disabled or elderly whom you look after or give special help to (for example, a sick, disabled or elderly relative/husband/wife/friend etc)?"
qc_caring_w4_aidhua	Who do you look after?
qc_caring_w4_aidxhh	"Do you provide some regular service or help for any sick, disabled or elderly person not living with you?"
qc_caring_w4_naidxhh	How many people do you care for?
qc_caring_w4_aidhu1	Who is the first person that you look after or help? (What is their relationship to you?)
qc_caring_w4_aidhu2	Who is the second person that you look after or help? (What is their relationship to you?)
qc_caring_w4_aidhrs	"Now thinking about everyone who you look after or provide help for both those living with you and not living with you - in total, how many hours do you spend each week looking after or helping (him/her/them)?"
qc_caring_w4_aideft	Thinking about everyone who lives with you that you look after or provide help for - does this extra work looking after [NAME(S)] prevent you from doing a paid job or as much paid work as you might like to do? Would you say you are...
qc_partnershiphistory_w4_partint	"We are interested in some important events that there may have been in your life, such as marriage and the birth of children."
qc_partnershiphistory_w4_lcohnpi	"As you know, some couples choose to live together without actually ever getting married. Apart from your current husband/wife/partner, have {if HHGRID.LIVESP = 1 | HHGRID.LIVEWITH = 1|3} / Have you ever lived with someone as a couple without being married?"
qc_partnershiphistory_w4_coh1bm	In what month and year did you first live with someone as a couple?
qc_partnershiphistory_w4_coh1by	In what month and year did you first live with someone as a couple? TYPE IN YEAR
qc_partnershiphistory_w4_coh1mr	Did you go on to marry the person you lived with at the time?
qc_partnershiphistory_w4_coh1em	In what month and year did you stop living as a couple with this partner?
qc_partnershiphistory_w4_coh1ey	In what month and year did you stop living as a couple with this partner? TYPE IN YEAR
qc_partnershiphistory_w4_nmar	"Altogether, how many times have you been married or in a civil partnership?"
qc_partnershiphistory_w4_lmar1m	In what month and year did you marry for the first time {if NMAR greater than 1}?
qc_partnershiphistory_w4_lmar1y	In what month and year did you marry for the first time {if NMAR greater than 1}? TYPE IN YEAR
qc_fertilityhistory_w4_fertintro	"The next questions are about any children you may have had, including step or adopted children and biological children."
qc_fertilityhistory_w4_ladopt	Have you ever had any adopted or step children living with you?
qc_fertilityhistory_w4_lnadopt	How many step/adopted children have you had in all?
qc_fertilityhistory_w4_lprnt	Have you ever [fathered/had] any biological children?
qc_fertilityhistory_w4_lnprnt	"Can I just check, how many biological children have you [fathered/had]?"
qc_fertilityhistory_w4_ch1bd	Can you please tell me the date of birth of your eldest (first born) child? ENTER DAY
qc_fertilityhistory_w4_ch1bm	Can you please tell me the date of birth of your eldest (first born) child? ENTER MONTH
qc_fertilityhistory_w4_ch1by4	Can you please tell me the date of birth of your eldest (first born) child? ENTER YEAR
qc_annualeventhistory_w4_calintro	The next questions ask about changes that may have happened to you since we last interviewed you on [ff_intdate].
qc_annualeventhistory_w4_adcts	"Can I just check, have you yourself lived at this address continuously since the last time we interviewed you, that is since [ff_IntDate]?"
qc_annualeventhistory_w4_movy1	"Thinking about the reasons why you haven't lived continuously at this address since we last interviewed you, did you move from this address for {if HHGRID.NewPer = 4 & AdCts = 2} / Last time we interviewed you, you were living at a different address. Did you move from that address for..."
qc_annualeventhistory_w4_family	What family related reason was that?
qc_annualeventhistory_w4_education	What education related reason was that?
qc_annualeventhistory_w4_memploy	What employment related reason was that?
qc_annualeventhistory_w4_housing	What housing related reason was that?
qc_annualeventhistory_w4_area	What area related reason was that?
qc_annualeventhistory_w4_moveoth	What other reason was that?
qc_annualeventhistory_w4_movdir	Did you move directly from that address into this address or did you live somewhere else in between?
qc_annualeventhistory_w4_plnowm	Please tell me the month and year you moved into this address? ENTER MONTH
qc_annualeventhistory_w4_plnowy4	Please tell me the month and year you moved into this address? ENTER YEAR
qc_annualeventhistory_w4_mstatsam	"When we last interviewed you, your legal marital status was [ff_marstat]. Has your legal marital status changed at all since [ff_intdate]?"
qc_annualeventhistory_w4_lwwrong	Can you tell me what your legal marital status was last time we interviewed you on [ff_IntDate]?
qc_annualeventhistory_w4_mstatsamn	Has your legal marital status changed at all since [ff_IntDate]?
qc_annualeventhistory_w4_mstatch	What did your legal marital status become with this change? Were you...
qc_annualeventhistory_w4_statcm	Can you tell me the month and year of that change to your legal marital status? ENTER MONTH
qc_annualeventhistory_w4_statcy4	Can you tell me the month and year of that change to your legal marital status? ENTER YEAR
qc_annualeventhistory_w4_divchk	You say you became divorced {if MStatCh = 5} / your civil partnership was dissolved {if MStatCh = 8}. Is the date you have given me the date your divorce {if MStatCh = 5} / dissolved partnership {if MStatCh = 8} became final or the date you separated and stopped living with your husband/wife/partner?
qc_annualeventhistory_w4_divfin	Is your divorce {if MStatCh = 5} / dissolved civil partnership {if MStatCh = 8} legally final?
qc_annualeventhistory_w4_dvm	In what month and year did your divorce or annulment {if MStatCh = 5} / dissolved civil partnership {if MStatCh = 8} become final? ENTER MONTH
qc_annualeventhistory_w4_dvy4	In what month and year did your divorce or annulment {if MStatCh = 5} / dissolved civil partnership {if MStatCh = 8} become final? ENTER YEAR
qc_annualeventhistory_w4_cmlstat	And has your legal marital status changed again since then?
qc_annualeventhistory_w4_cohab	Since we interviewed you on [ff_IntDate] have you had any periods of cohabitation lasting three months or more? Please include your current husband/wife/partner. {if currently married or cohabiting and spouse/partner is resident}
qc_annualeventhistory_w4_cohabn	"How many periods of cohabitation lasting three months or more have you had since [ff_IntDate], including periods of cohabitation with your current husband/wife/partner {if currently married or cohabiting and spouse/partner is resident}?"
qc_annualeventhistory_w4_lmcbm	Can you tell me the month and year you started [this/your first/your next] period of cohabitation? ENTER MONTH
qc_annualeventhistory_w4_lmcby4	Can you tell me the month and year you started [this/your first/your next] period of cohabitation? ENTER YEAR
qc_annualeventhistory_w4_currpart	"Can I just check, is this your current husband/wife {if HHGRID.MARSTAT = 2} / partner {if HHGRID.MARSTAT = 3 | HHGRID.LiveWith = 1}?"
qc_annualeventhistory_w4_lmspm	In what month and year did you stop living with that partner? ENTER MONTH
qc_annualeventhistory_w4_lmspy4	In what month and year did you stop living with that partner? ENTER YEAR
qc_annualeventhistory_w4_father	"Since we last interviewed you on [ff_IntDate] have you fathered any children, including any children who are not living with you here?"
qc_annualeventhistory_w4_nchild	How many children have you had since [ff_IntDate]?
qc_annualeventhistory_w4_preg	"Since [ff_IntDate] have you been pregnant at all, even if this did not result in a live birth?"
qc_annualeventhistory_w4_pregm	In what month and year did you become pregnant? PLEASE ENTER THE MONTH
qc_annualeventhistory_w4_pregy4	In what month and year did you become pregnant? PLEASE ENTER THE YEAR
qc_annualeventhistory_w4_pregfert	Did you receive any form of fertility treatment before becoming pregnant?
qc_annualeventhistory_w4_invitro	Did you receive invitro fertilisation treatment?
qc_annualeventhistory_w4_pregout	"Last time we interviewed you, you were pregnant. {if PREG = 1} Did this/your next pregnancy result in a live birth with a normal delivery or by caesarean section?"
qc_annualeventhistory_w4_pregend	How did this pregnancy end? Please just tell me the number from the card.
qc_annualeventhistory_w4_endmnth	"How many months pregnant were you when this pregnancy ended. Was it less than 3 months, between 3 and 6 months, or 6 months or more?"
qc_annualeventhistory_w4_pregsmoke	"Did you smoke at all during this pregnancy, including before you were aware that you were pregnant?"
qc_annualeventhistory_w4_smkmnth	During which months of this pregnancy did you smoke? Did you smoke in...
qc_annualeventhistory_w4_pregsmk1	"On average, how many cigarettes did you smoke per day during months one to three of this pregnancy?"
qc_annualeventhistory_w4_pregsmk2	"On average, how many cigarettes did you smoke per day during months four to six of this pregnancy?"
qc_annualeventhistory_w4_pregsmk3	"On average, how many cigarettes did you smoke per day during months seven to nine of this pregnancy?"
qc_annualeventhistory_w4_aedrof	Which of these best describes how often you usually drank alcohol during this pregnancy?
qc_annualeventhistory_w4_aepuwk	"And in an average week, how many units did you drink?"
qc_annualeventhistory_w4_aepuda	"And on the days when you did drink alcohol, on average how many units did you drink in a day?"
qc_annualeventhistory_w4_lchmulti	Did you have a multiple birth such as twins or triplets with this pregnancy?
qc_annualeventhistory_w4_morpreg	Have you had any more pregnancies since we interviewed you on [ff_IntDate]?
qc_annualeventhistory_w4_lchlv	Is your first/second/third/fourth child still living with you?
qc_annualeventhistory_w4_lchyd4	In which year did that happen?
qc_annualeventhistory_w4_lchsx	Are/were they a boy or a girl?
qc_annualeventhistory_w4_lchbm	Can you tell me his/her month and year of birth? ENTER MONTH
qc_annualeventhistory_w4_lchby4	Can you tell me his/her month and year of birth? ENTER YEAR
qc_annualeventhistory_w4_lchal	How old was he/she when he/she last lived with you?
qc_annualeventhistory_w4_lchno	WHICH NEWBORN BIOLOGICAL CHILD OF THE RESPONDENT IS THIS?
qc_annualeventhistory_w4_lchchk	"Can I check, [CHILD'S NAME] is a [boy/girl] and their date of birth is [DOB]?"
qc_annualeventhistory_w4_bwtxp	Was [CHILD'S NAME] born within one week of the expected due date?
qc_annualeventhistory_w4_bwtel	Was [CHILD'S NAME] born early or late?
qc_annualeventhistory_w4_bwtwk	How many weeks [early/late] was [CHILD'S NAME]?
qc_annualeventhistory_w4_bwt	How much did [CHILD'S NAME] weigh when they were born?
qc_annualeventhistory_w4_bwtlb	RECORD BIRTHWEIGHT IN LBS
qc_annualeventhistory_w4_bwtoz	RECORD BIRTHWEIGHT IN OUNCES
qc_annualeventhistory_w4_bwtk	RECORD BIRTHWEIGHT IN KILOGRAMS
qc_annualeventhistory_w4_bwtg5	Did [CHILD'S NAME] weigh more than 5.5lbs (2.5kg)?
qc_annualeventhistory_w4_nbclmprb	How easy or difficult is it for you to calm or soothe [CHILD'S NAME] when s/he is upset?
qc_annualeventhistory_w4_nbfuss	How often does [CHILD'S NAME] usually fuss and cry during a typical 24 hour period (e.g. yesterday)?
qc_annualeventhistory_w4_nbsleep	How long does it usually take you to settle [CHILD'S NAME] for his or her night time sleep once you have started the process?
qc_annualeventhistory_w4_nbwakes	How many times does [CHILD'S NAME] usually wake him/herself up at night?
qc_annualeventhistory_w4_nbrefeat	How true are the following statements about [CHILD'S NAME]? [CHILD'S NAME] refuses to eat.
qc_annualeventhistory_w4_nbnoapp	How true are the following statements about [CHILD'S NAME]? [CHILD'S NAME] seems to have no appetite.
qc_annualeventhistory_w4_brfed	"Did you breastfeed [CHILD'S NAME], even if only for a short time?"
qc_annualeventhistory_w4_brfedend	And how old was [CHILD'S NAME] when you stopped breastfeeding him/her altogether?
qc_annualeventhistory_w4_brfedend2	And how old was [CHILD'S NAME] when you stopped breastfeeding him/her altogether? CODE UNIT
qc_annualeventhistory_w4_brfedstill	"Last time we interviewed you (on [ff_IntDate]), you were breastfeeding [CHILD'S NAME]. Are you still breastfeeding [CHILD'S NAME]?"
qc_annualeventhistory_w4_brfdlwe	And how old was [CHILD'S NAME] when you stopped breastfeeding altogether?
qc_annualeventhistory_w4_brfdlwe2	And how old was [CHILD'S NAME] when you stopped breastfeeding altogether? CODE UNIT
qc_annualeventhistory_w4_hcondn	"Since [ff_IntDate] has a doctor or other health professional newly diagnosed you as having any of the following conditions? If so, which ones?"
qc_annualeventhistory_w4_hospc	"Thinking of your [HCondN], have you been in hospital or clinic as an in-patient overnight or longer since [ff_IntDate] because of this health condition?"
qc_annualeventhistory_w4_hospdc	How many days have you spent in hospital or clinic as an in-patient since [ff_IntDate] because of your [HCondN]?
qc_annualeventhistory_w4_hcondns	Do you still have [HCondN]?
qc_annualeventhistory_w4_contft	"Last time we interviewed you, you were in full-time education. Have you been in continuous full-time education since [ff_IntDate]? Being on holiday from school or between school and University counts as being in full-time education even if you had a job at that time."
qc_annualeventhistory_w4_ftendm	Can you tell me the month and year you finished that period of full-time education? ENTER MONTH
qc_annualeventhistory_w4_ftendy4	Can you tell me the month and year you finished that period of full-time education? ENTER YEAR
qc_annualeventhistory_w4_ftedany	Have you had any periods of full-time education since [ff_IntDate]? {if ff_JBSTAT not equal to 7} / Have you had any other periods of full-time education since then? {if ContFT = 2}
qc_annualeventhistory_w4_ftedstartm	Can you tell me the month and year you started that/your next period of full-time education? ENTER MONTH
qc_annualeventhistory_w4_ftedstarty4	Can you tell me the month and year you started that/your next period of full-time education? ENTER YEAR
qc_annualeventhistory_w4_ftedend	Has that period of full-time education ended?
qc_annualeventhistory_w4_ft2endm	Can you tell me the month and year you finished that period of full-time education? ENTER MONTH
qc_annualeventhistory_w4_ft2endy4	Can you tell me the month and year you finished that period of full-time education? ENTER YEAR
qc_annualeventhistory_w4_ftedmor	Have you had any other periods of full-time education since then?
qc_annualeventhistory_w4_ftquals	Have you gained any formal qualifications from your full-time education since [ff_IntDate]?
qc_annualeventhistory_w4_qualnew	What qualifications have you gained?
qc_annualeventhistory_w4_trainany	"In the last 12 months, that is since [interview month] [interview year - 1], have you done any [other] training schemes or courses, even if they are not finished yet? Please include any part-time or evening courses, training provided by an employer, day release schemes, apprenticeships and government training schemes."
qc_annualeventhistory_w4_trainn	How many training schemes or courses have you been on?
qc_annualeventhistory_w4_trwho	"Thinking about your [first/second/third] training scheme or course, was this provided by your employer either on or off the job, was it a government training scheme, a college or university degree or diploma, or was it some other type of training scheme or course? Please tell me about the three longest training schemes or courses you have been on including any that are not finished yet {if TrainN greater than 3}"
qc_annualeventhistory_w4_traindays	"During the last 12 months, on how many days did you attend that training course?"
qc_annualeventhistory_w4_trainhrs	"On average and not including breaks, lunch or travel time, how many hours each/that day did you spend on that course?"
qc_annualeventhistory_w4_trainend	Has that training scheme or course ended?
qc_annualeventhistory_w4_trainpurp	"For which, if any, of these reasons have you done this training?"
qc_annualeventhistory_w4_trainqual	Did you gain any qualifications from that training scheme or course?
qc_annualeventhistory_w4_trqual	What qualifications did you gain from any of your training schemes or courses?
qc_annualeventhistory_w4_notempchk	"Last time we interviewed you, you were [ff_JBSTAT]. Have you been continuously [ff_JBSTAT] since [ff_IntDate]?"
qc_annualeventhistory_w4_empchk	"Last time we interviewed you, you were [ff_JBSTAT]. Have you been continuously [ff_JBSTAT] since [ff_IntDate]? {if ff_empLW = 1 & ff_JBSTAT less than 3} / Last time we interviewed you, you were doing some paid work. Have you been continuously in paid work since [ff_IntDate]? {if (ff_empLW = 1 & ff_JBSTAT greater than 3) OR (ff_empLW = 2 & ff_JBSTAT less than 3)}"
qc_annualeventhistory_w4_empstendd	On what date did you stop being [ff_JBSTAT] {if NotEmpChk = 2} / working in the job you were doing on [ff_IntDate] {if EmpChk = 2}? ENTER DAY
qc_annualeventhistory_w4_empstendm	On what date did you stop being [ff_JBSTAT] {if NotEmpChk = 2} / working in the job you were doing on [ff_IntDate] {if EmpChk = 2}? ENTER MONTH
qc_annualeventhistory_w4_empstendy4	On what date did you stop being [ff_JBSTAT] {if NotEmpChk = 2} / working in the job you were doing on [ff_IntDate] {if EmpChk = 2}? ENTER YEAR
qc_annualeventhistory_w4_stendreas	Can you tell me why you stopped doing that job?
qc_annualeventhistory_w4_nxtst	"Immediately following that period of [ff_JBSTAT] {if NotEmpChk = 2} / job {if EmpChk = 2}, did you have a period of paid work or did you do something else?"
qc_annualeventhistory_w4_nxtstelse	What were you doing? Were you...
qc_annualeventhistory_w4_cstat	Has this period of being [NxtStElse] ended or is this what you are doing now?
qc_annualeventhistory_w4_nxtstendd	On what date did you stop being [NxtStElse]? ENTER DAY
qc_annualeventhistory_w4_nxtstendm	On what date did you stop being [NxtStElse]? ENTER MONTH
qc_annualeventhistory_w4_nxtstendy4	On what date did you stop being [NxtStElse]? ENTER YEAR
qc_annualeventhistory_w4_jbsamr	And have you worked continuously for the same employer since [ff_IntDate]?
qc_annualeventhistory_w4_wkplsam	Are you still working at the same workplace as the job you had on [ff_IntDate]?
qc_annualeventhistory_w4_samejob	Have you been working continuously in the same job since [ff_IntDate]?
qc_annualeventhistory_w4_matlv	Have you had any periods of maternity or paternity leave since [ff_IntDate]?
qc_annualeventhistory_w4_matlvstd	"What was the day, month and year you started your period of maternity or paternity leave? ENTER DAY"
qc_annualeventhistory_w4_matlvstm	"What was the day, month and year you started your period of maternity or paternity leave? ENTER MONTH"
qc_annualeventhistory_w4_matlvsty4	"What was the day, month and year you started your period of maternity or paternity leave? ENTER YEAR"
qc_annualeventhistory_w4_matlvendd	"And on what day, month and year did you end your period of maternity or paternity leave? ENTER DAY"
qc_annualeventhistory_w4_matlvendm	"And on what day, month and year did you end your period of maternity or paternity leave? ENTER MONTH"
qc_annualeventhistory_w4_matlvendy4	"And on what day, month and year did you end your period of maternity or paternity leave? ENTER YEAR"
qc_annualeventhistory_w4_jbendd	On what date did you stop working in the job you were doing on [ff_IntDate]? ENTER DAY
qc_annualeventhistory_w4_jbendm	On what date did you stop working in the job you were doing on [ff_IntDate]? ENTER MONTH
qc_annualeventhistory_w4_jbendy4	On what date did you stop working in the job you were doing on [ff_IntDate]? ENTER YEAR
qc_annualeventhistory_w4_jbendreas	Can you tell me why you stopped doing that job?
qc_annualeventhistory_w4_cjob	Was that {if NxtSt = 1} / your {if JbSamR = 2 | SameJob = 2} next job your current job?
qc_annualeventhistory_w4_nxtjbhrs	"Was that job full-time or part-time, where part-time is working less than 30 hours a week?"
qc_annualeventhistory_w4_nxtjbes	In that job were you employed or self-employed?
qc_annualeventhistory_w4_nxtjbendd	On what date did you end that job? ENTER DAY
qc_annualeventhistory_w4_nxtjbendm	On what date did you end that job? ENTER MONTH
qc_annualeventhistory_w4_nxtjbendy4	On what date did you end that job? ENTER YEAR
qc_annualeventhistory_w4_cjbatt	What was the main thing about your current job that attracted you to it?
qc_annualeventhistory_w4_nextstat	"Immediately following that period of [NxtStElse]] {if NxtSt = 2} / period of [NextStat(i-1)] {if NxtSt = 2 and 2nd or subsequent loop} / job {if NxtSt = 1}, did you have a period of paid employment or did you do something else?"
qc_annualeventhistory_w4_nextelse	What were you doing? Were you...
qc_annualeventhistory_w4_currstat	Has this period of being [NextElse] ended or is this what you are doing now?
qc_annualeventhistory_w4_nextjob	Was this next period of employment...
qc_annualeventhistory_w4_currjob	Is this your current job?
qc_annualeventhistory_w4_jobhours	"Was this job full-time or part-time, where part-time is working less than 30 hours a week?"
qc_annualeventhistory_w4_reasend	Can you tell me why you stopped doing that job?
qc_annualeventhistory_w4_jbatt	What was the main thing about your current job that attracted you to it?
qc_annualeventhistory_w4_statendd	On what date did you stop doing that and start your next job or other activity? ENTER DAY
qc_annualeventhistory_w4_statendm	On what date did you stop doing that and start your next job or other activity? ENTER MONTH
qc_annualeventhistory_w4_statendy4	On what date did you stop doing that and start your next job or other activity? ENTER YEAR
qc_currentemployment_w4_jbhas	"Can I just check, did you do any paid work last week - that is in the seven days ending last Sunday - either as an employee or self-employed?"
qc_currentemployment_w4_jboff	Even though you weren't working did you have a job that you were away from last week?
qc_currentemployment_w4_jboffy	What was the main reason you were away from work last week?
qc_currentemployment_w4_jbterm1	"Leaving aside your own personal intentions and circumstances, is your job..."
qc_currentemployment_w4_jbterm2	"In what way is the job not permanent, is it..."
qc_currentemployment_w4_jbsic07chk	Is [ff_JBSIC07] still an accurate description of what the firm or organisation where you work makes or does?
qc_currentemployment_w4_jbsic07	What does the firm/organisation you work for mainly make or do at the place where you work?
qc_currentemployment_w4_jbsoc00chk	Is [ff_JBSOC00] still an accurate description of your occupation in your main job?
qc_currentemployment_w4_jbsoc00	What was your main job last week? Please tell me the exact job title and describe fully the sort of work you do.
qc_currentemployment_w4_jbsempchk	And are you still an {if ff_JBSEMP = 1} [ff_JBSEMP]?
qc_currentemployment_w4_jbsemp	Are you an employee or self-employed?
qc_currentemployment_w4_jbbgdat	"And on what date did you start working in your present job? If you have been promoted or changed grades, please give me the date of that change. Otherwise please give me the date when you started doing the job you are doing now for your present employer or working self-employed."
qc_currentemployment_w4_jbbgd	PLEASE ENTER THE DAY
qc_currentemployment_w4_jbbgm	PLEASE ENTER THE MONTH
qc_currentemployment_w4_jbbgy	PLEASE ENTER THE YEAR
qc_employees_w4_jbmngrchk	"Last time we interviewed you, you said you were [ff_jbmngr] {if ff_jbmngr = 1|2} / had no managerial or supervisory responsibilities {if ff_jbmngr = 3}. Is that still the case?"
qc_employees_w4_jbmngr	Do you have any managerial duties or do you supervise any other employees?
qc_employees_w4_jbsizechk	And is the number of people employed at the place you work still [ff_jbsize] people?
qc_employees_w4_jbsize	How many people are employed at the place where you work?
qc_employees_w4_jbsect	Do you work for a private firm or business or other limited company or do you work for some other type of organisation?
qc_employees_w4_jbsectpub	What kind of non-private organisation do you work for?
qc_employees_w4_jbhrs	"Thinking about your (main) job, how many hours, excluding overtime and meal breaks, are you expected to work in a normal week?"
qc_employees_w4_jbot	And how many hours overtime do you usually work in a normal week?
qc_employees_w4_jbotpd	How much of that overtime is usually paid overtime?
qc_employees_w4_jbpl	Do you work mainly...
qc_employees_w4_paygl	"The last time you were paid, what was your gross pay - that is including any overtime, bonuses, commission, tips or tax refund but before any deductions for tax, National Insurance or pension contributions, union dues and so on?"
qc_employees_w4_paygwc	How long a period did that cover?
qc_employees_w4_paynl	"And what was your take home pay last time, that is after any deductions were made for tax, National Insurance, pensions, union dues etc?"
qc_employees_w4_paynwc	How long a period did that cover?P
qc_employees_w4_payusl	"Your take home pay last time was £ PAYNL(PAYNL greater than 0) PAYGL(PAYNL = 0). Is this the amount you usually receive (before any statutory sick pay or statutory maternity, paternity or adoption pay)?"
qc_employees_w4_payu	How much are you usually paid?
qc_employees_w4_payuwc	How long a period did that cover?
qc_employees_w4_payug	"And is that before or after any deductions for tax, National Insurance, union dues and so on or are there usually no deductions at all made from your salary?"
qc_employees_w4_paytyp	"How is your pay calculated, in particular are you salaried or paid by the hour?"
qc_employees_w4_pvtpay	"If you were to work more hours than usual during some week, would you receive additional pay for these extra hours of work?"
qc_employees_w4_extnsa	About how much would you be paid per hour for those extra hours?
qc_employees_w4_extrate	CODE AMOUNT PAID PER HOUR FOR EXTRA HOURS ENTER POUNDS AND PENCE
qc_employees_w4_extrest	CODE WHETHER EXACT OR ESTIMATED AMOUNT ENTERED
qc_employees_w4_basnsa	What is your hourly rate of pay for your basic hours of work?
